Date,so2,nox,o3,pm2.5,pm10,co
01/01/2016,2,20,,,,
01/02/2016,2,20,,,,
01/03/2016,2,20,,,,
01/04/2016,2,29,,,,
01/05/2016,1,22,,,,
01/06/2016,1,16,,,,
01/07/2016,1,18,,,,
01/08/2016,1,20,,,,
01/09/2016,1,19,,,,
01/10/2016,2,18,,,,
01/11/2016,4,22,,,,
01/12/2016,1,17,,,,
1/13/2016,0,23,,,,
1/14/2016,1,25,,,,
1/15/2016,1,24,,,,
1/16/2016,1,25,,,,
1/17/2016,1,17,,,,
1/18/2016,1,18,,,,
1/19/2016,,,,,,
1/20/2016,,,,,,
1/21/2016,,,,,,
1/22/2016,,,,,,
1/23/2016,,,,,,
1/24/2016,,,,,,
1/25/2016,,,,,,
1/26/2016,,,,,,
1/27/2016,,,,,,
1/28/2016,,,,,,
1/29/2016,,,,,,
1/30/2016,,,,,,
1/31/2016,,,,,,
02/01/2016,1,18,,,,
02/02/2016,,,,,,
02/03/2016,2,17,,,,
02/04/2016,,15,,,,
02/05/2016,1,16,,,,
02/06/2016,1,,,,,
02/07/2016,1,20,,,,
02/08/2016,3,20,,,,
02/09/2016,1,21,,,,
02/10/2016,,20,,,,
02/11/2016,,24,,,,
02/12/2016,4,19,,,,
2/13/2016,1,20,,,,
2/14/2016,1,17,,,,
2/15/2016,1,16,,,,
2/16/2016,1,15,,,,
2/17/2016,1,18,,,,
2/18/2016,1,19,,,,
2/19/2016,,35,,,,
2/20/2016,,,,,,
2/21/2016,,,,,,
2/22/2016,,,,,,
2/23/2016,,,,,,
2/24/2016,,,,,,
2/25/2016,,,,,,
2/26/2016,,,,,,
2/27/2016,,,,,,
2/28/2016,,,,,,
2/29/2016,,,,,,
03/01/2016,0,7,,,,
03/02/2016,0,17,,,,
03/03/2016,0,15,,,,
03/04/2016,1,14,,,,
03/05/2016,0,17,,,,
03/06/2016,7,26,,,,
03/07/2016,0,14,,,,
03/08/2016,0,21,,,,
03/09/2016,0,14,,,,
03/10/2016,4,14,,,,
03/11/2016,0,17,,,,
03/12/2016,0,14,,,,
3/13/2016,,17,,,,
3/14/2016,,20,,,,
3/15/2016,,27,,,,
3/16/2016,,16,,,,
3/17/2016,,20,,,,
3/18/2016,,17,,,,
3/19/2016,,15,,,,
3/20/2016,,12,,,,
3/21/2016,,17,,,,
3/22/2016,,16,,,,
3/23/2016,,6,,,,
3/24/2016,,11,,,,
3/25/2016,,4,,,,
3/26/2016,,22,,,,
3/27/2016,,19,,,,
3/28/2016,,20,,,,
3/29/2016,,10,,,,
3/30/2016,,,,,,
3/31/2016,,,,,,
04/01/2016,3,15,,,,
04/02/2016,4,16,,,,
04/03/2016,26,11,,,,
04/04/2016,1,13,,,,
04/05/2016,,17,,,,
04/06/2016,,16,,,,
04/07/2016,,15,,,,
04/08/2016,,13,,,,
04/09/2016,,14,,,,
04/10/2016,,12,,,,
04/11/2016,,17,,,,
04/12/2016,,22,,,,
4/13/2016,,27,,,,
4/14/2016,,38,,,,
4/15/2016,,15,,,,
4/16/2016,,14,,,,
4/17/2016,,21,,,,
4/18/2016,,14,,,,
4/19/2016,,15,,,,
4/20/2016,,19,,,,
4/21/2016,,17,,,,
4/22/2016,,16,,,,
4/23/2016,,14,,,,
4/24/2016,,13,,,,
4/25/2016,,14,,,,
4/26/2016,,18,,,,
4/27/2016,,20,,,,
4/28/2016,,,,,,
4/29/2016,,,,,,
4/30/2016,,,,,,
05/01/2016,3,23,,23,24,
05/02/2016,1,23,,26,34,
05/03/2016,12,20,,25,67,
05/04/2016,9,19,,27,126,
05/05/2016,1,17,,,,
05/06/2016,3,18,,,,
05/07/2016,4,15,,,,
05/08/2016,20,21,,,,
05/09/2016,13,13,,,,
05/10/2016,12,18,,,,
05/11/2016,6,13,,,,
05/12/2016,3,12,,,,
5/13/2016,3,13,,,,
5/14/2016,4,12,,,,
5/15/2016,3,10,,,,
5/16/2016,6,20,,,,
5/17/2016,8,18,,,,
5/18/2016,3,11,,,,
5/19/2016,,2,,,,
5/20/2016,,,,,,
5/21/2016,,,,,,
5/22/2016,,,,,,
5/23/2016,,,,,,
5/24/2016,,,,,,
5/25/2016,,,,,,
5/26/2016,,,,,,
5/27/2016,,,,,,
5/28/2016,,,,,,
5/29/2016,,,,,,
5/30/2016,,,,,,
5/31/2016,,,,,,
06/01/2016,,,,,,
06/02/2016,,,,,,
06/03/2016,,,,,,
06/04/2016,,,,,,
06/05/2016,,,,,,
06/06/2016,,,,,,
06/07/2016,,,,,,
06/08/2016,,,,,,
06/09/2016,,,,,,
06/10/2016,,,,,,
06/11/2016,,,,,,
06/12/2016,,,,,,
6/13/2016,,,,,,
6/14/2016,,,,,,
6/15/2016,,,,,,
6/16/2016,,,,,,
6/17/2016,,,,,,
6/18/2016,,,,,,
6/19/2016,,,,,,
6/20/2016,,,,,,
6/21/2016,,,,,,
6/22/2016,,,,,,
6/23/2016,,,,,,
6/24/2016,,,,,,
6/25/2016,,,,,,
6/26/2016,,,,,,
6/27/2016,,,,,,
6/28/2016,,,,,,
6/29/2016,,,,,,
6/30/2016,,,,,,
07/01/2016,1,12,,9.13,18.84,
07/02/2016,2,9,,15.65,62.26,
07/03/2016,1,9,,12.84,77.76,
07/04/2016,1,8,,20.87,23.05,
07/05/2016,1,9,,6.59,44.27,
07/06/2016,1,11,,11.37,43.94,
07/07/2016,1,12,,14.25,7.59,
07/08/2016,1,9,,8.58,24.78,
07/09/2016,1,12,,7.88,29.51,
07/10/2016,2,8,,5.54,42.31,
07/11/2016,0,9,,5.25,11.95,
07/12/2016,1,7,,12.36,28,
7/13/2016,1,10,,13.97,4.69,
7/14/2016,1,17,,23.29,58.73,
7/15/2016,,,,17.12,47.76,
7/16/2016,,,,5.99,29.81,
7/17/2016,,,,12.62,54.37,
7/18/2016,,,,14.01,20.54,
7/19/2016,,,,13.68,37.53,
7/20/2016,,,,20.9,32.32,
7/21/2016,,,,9.88,11.24,
7/22/2016,,,,5.82,3.88,
7/23/2016,,,,4.52,2.36,
7/24/2016,,,,6.61,6.06,
7/25/2016,,,,11.86,15.79,
7/26/2016,,,,10.16,13.83,
7/27/2016,,,,6.93,9.17,
7/28/2016,,,,7.81,10.6,
7/29/2016,,,,7,11.05,
7/30/2016,,,,3.91,8.79,
7/31/2016,,,,,,
08/01/2016,2,14,,4.44,5.34,
08/02/2016,1,11,,4.82,5.1,
08/03/2016,1,12,,4.11,5.02,
08/04/2016,6,12,,5.01,9.05,
08/05/2016,1,11,,4,6.2,
08/06/2016,1,10,,4.59,6.18,
08/07/2016,4,13,,1.4,2.02,
08/08/2016,11,10,,3.35,5.36,
08/09/2016,8,14,,2.17,5.14,
08/10/2016,2,13,,4.04,5.54,
08/11/2016,2,10,,4.85,6.68,
08/12/2016,2,14,,3.96,4.46,
8/13/2016,6,15,,2.26,2.69,
8/14/2016,3,16,,2.37,5.41,
8/15/2016,3,18,,2.81,6.51,
8/16/2016,2,14,,1.59,6,
8/17/2016,3,13,,2.57,6.19,
8/18/2016,1,10,,3.64,7.21,
8/19/2016,1,12,,2.63,7.25,
8/20/2016,2,10,,3.34,3.37,
8/21/2016,2,8,,3.58,6.88,
8/22/2016,3,11,,3.3,10.88,
8/23/2016,2,9,,3.96,8.31,
8/24/2016,2,8,,3.76,9.71,
8/25/2016,1,8,,4.18,13.3,
8/26/2016,2,10,,3.98,15.51,
8/27/2016,3,14,,2.14,6.61,
8/28/2016,2,15,,1.39,5.81,
