Date,so2,nox,o3,pm2.5,pm10,co
01/01/2017,4.049,6.33,,10.006,13.024,
01/02/2017,3.618,14.275,,15.185,19.57,
01/03/2017,3.376,15.335,,10.952,15.798,
01/04/2017,3.845,16.936,,15.836,20.353,
01/05/2017,3.771,11.873,,9.38,13.657,
01/06/2017,3.754,14.489,,11.225,16.066,
01/07/2017,4.152,14.732,,15.216,20.948,
01/08/2017,4.018,14.578,,26.54,34.474,
01/09/2017,4.168,15.827,,19.688,25.611,
01/10/2017,3.679,13.084,,13.158,17.022,
01/11/2017,3.529,13.879,,5.996,8.117,
01/12/2017,3.334,11.291,,5.385,8.015,
1/13/2017,3.908,14.248,,13.26,17.839,
1/14/2017,3.997,11.476,,14.463,18.257,
1/15/2017,3.724,11.513,,12.473,15.348,
1/16/2017,3.695,13.076,,5.452,7.664,
1/17/2017,3.415,10.483,,6.266,8.523,
1/18/2017,3.344,14.639,,9.646,10.348,
1/19/2017,3.623,15.617,,2.47,4.286,
1/20/2017,3.722,13.405,,8.305,7.468,
1/21/2017,4.083,13.012,,7.969,7.666,
1/22/2017,4.12,14.089,,18.628,24.212,
1/23/2017,3.729,10.384,,9.516,13.135,
1/24/2017,3.35,13.142,,5.797,5.749,
1/25/2017,3.761,14.11,,8.189,8.088,
1/26/2017,3.761,15.908,,4.744,4.614,
1/27/2017,4.221,14.118,,6.058,7.64,
1/28/2017,3.479,16.203,,8.46,11.542,
1/29/2017,3.776,14.056,,11.036,15.184,
1/30/2017,4.411,12.837,,17.249,23.336,
1/31/2017,4.839,16.209,,15.053,16.974,
02/01/2017,4.216,11.961,,9.8,12.36,
02/02/2017,3.976,5.076,,5.575,6.033,
02/03/2017,3.139,8.776,,3.638,4.426,
02/04/2017,3.236,10.073,,8.543,11.303,
02/05/2017,3.344,9.885,,8.797,11.302,
02/06/2017,4.102,12.225,,10.511,13.526,
02/07/2017,3.721,9.532,,6.411,8.17,
02/08/2017,4.909,15,,11.846,15.307,
02/09/2017,5.382,17.324,,14.715,29.475,
02/10/2017,3.913,16.018,,11.048,28.588,
02/11/2017,3.423,16.788,,8.105,19.329,
02/12/2017,3.52,13.656,,8.934,20.183,
2/13/2017,3.011,8.967,,5.911,16.085,
2/14/2017,2.804,5.323,,5.598,25.063,
2/15/2017,2.949,9.089,,10.035,25.219,
2/16/2017,3.314,18.368,,11.868,25.4,
2/17/2017,3.604,14.543,,19.783,38.781,
2/18/2017,3.869,10.107,,14.131,26.582,
2/19/2017,3.622,10.022,,4.348,10.637,
2/20/2017,3.463,10.008,,8.354,18.613,
2/21/2017,3.902,6.998,,7.676,18.544,
2/22/2017,3.591,12.195,,9.88,22.722,
2/23/2017,4.668,11.265,,13.924,27.014,
2/24/2017,3.739,11.035,,10.399,22.848,
2/25/2017,3.472,10.086,,8.419,17.609,
2/26/2017,14.104,22.898,,11.507,21.811,
2/27/2017,3.879,9.447,,9.873,17.809,
2/28/2017,4.266,10.45,,6.145,14.495,
03/01/2017,5.41,11.479,,12.248,22.824,
03/02/2017,3.745,6.137,,8.478,16.425,
03/03/2017,3.767,12.771,,9.633,18.018,
03/04/2017,3.681,8.996,,10.016,18.416,
03/05/2017,3.174,7.814,,6.624,13.809,
03/06/2017,5.57,11.575,,15.405,25.851,
03/07/2017,5.24,16.974,,21.675,32.566,
03/08/2017,3.64,13.317,,14.176,25.238,
03/09/2017,3.635,13.529,,20.521,27.123,
03/10/2017,4.76,14.75,,24.557,21.974,
03/11/2017,4.697,11.708,,32.759,29.448,
03/12/2017,4.119,12.623,,27.034,24.386,
3/13/2017,4.057,10.45,,29.127,26.297,
3/14/2017,5.542,11.949,,27.811,25.111,
3/15/2017,3.249,11.724,,21.544,19.442,
3/16/2017,3.055,10.366,,11.99,10.908,
3/17/2017,3.129,11.46,,16.162,14.6,
3/18/2017,3.307,11.164,,15.694,14.213,
3/19/2017,3.046,12.556,,19.342,17.475,
3/20/2017,3.355,12.594,,18.933,17.046,
3/21/2017,3.517,10.305,,24.093,21.761,
3/22/2017,3.613,12.312,,18.09,16.416,
3/23/2017,6.145,13.209,,18.081,16.385,
3/24/2017,3.808,11.889,,18.155,16.409,
3/25/2017,3.583,9.405,,16.8,15.215,
3/26/2017,3.403,9.005,,16.88,15.32,
3/27/2017,3.433,8.435,,7.599,7.051,
3/28/2017,3.689,10.66,,9.654,14.964,
3/29/2017,3.801,13.427,,16.129,28.023,
3/30/2017,,,,,,
3/31/2017,,,,,,
04/01/2017,-999,-999,-999,-999,-999,-999
04/02/2017,-999,-999,-999,-999,-999,-999
04/03/2017,-999,-999,-999,-999,-999,-999
04/04/2017,1.355,7.208,37.798,4.162,17.301,0.238
04/05/2017,2.259,9.052,38.469,12.654,28.253,0.195
04/06/2017,2.17,10.358,34.139,16.068,31.94,0.17
04/07/2017,1.449,13.181,25.065,15.05,33.064,0.185
04/08/2017,1.618,11.368,28.02,17.39,29.627,0.148
04/09/2017,1.521,10.91,27.486,17.816,27.029,0.144
04/10/2017,3.034,10.895,43.374,26.68,40.112,0.131
04/11/2017,1.769,3.207,29.936,17.237,27.846,0.05
04/12/2017,1.735,9.283,39.241,20.677,35.125,0.097
4/13/2017,6.329,13.79,29.25,13.453,25.337,0.086
4/14/2017,0.617,5.369,29.169,9.098,19.86,0.076
4/15/2017,0.937,9.141,30.492,15.485,30.863,0.14
4/16/2017,0.772,9.489,19.593,11.512,24.845,0.157
4/17/2017,1.336,8.975,28.743,13.041,24.113,0.126
4/18/2017,2.089,15.815,34.896,19.825,30.328,0.176
4/19/2017,3.788,11.193,17.917,13.458,20.741,0.177
4/20/2017,3.871,10.735,30.928,10.54,15.418,0.131
4/21/2017,5.085,14.995,34.409,14.076,23.471,0.162
4/22/2017,2.503,11.757,16.272,10.958,20.978,0.121
4/23/2017,1.255,8.709,23.26,11.219,20.092,0.13
4/24/2017,1.513,9.674,35.047,14.427,26.893,0.171
4/25/2017,1.368,12.774,33.797,18.028,30.188,0.215
4/26/2017,1.018,11.958,32.659,15.566,25.704,0.164
4/27/2017,1.761,7.524,27.429,15.938,30.974,0.165
4/28/2017,1.332,8.927,25.425,15.275,35.359,0.158
4/29/2017,2.218,12.731,25.562,13.605,34.275,0.169
4/30/2017,1.32,9.061,34.066,17.286,41.335,0.2
05/01/2017,1.871,5.396,37.496,17.346,38.454,0.201
05/02/2017,1.947,14.671,42.243,20.653,40.334,0.222
05/03/2017,1.35,16.519,36.34,21.092,40.723,0.231
05/04/2017,1.187,14.108,30.572,9.394,26.201,0.196
05/05/2017,1.581,18.005,24.841,15.815,32.969,0.214
05/06/2017,1.393,11.522,29.379,10.386,25.234,0.188
05/07/2017,1.767,9.547,24.463,8.818,22.939,0.173
05/08/2017,1.457,10.512,24.855,13.142,27.889,0.178
05/09/2017,1.343,13.083,36.235,15.827,30.914,0.178
05/10/2017,1.315,9.325,21.255,10.801,24.859,0.166
05/11/2017,1.692,11.155,17.983,8.753,27.353,0.175
05/12/2017,1.232,12.316,18.5,10.843,29.978,0.161
5/13/2017,1.297,10.197,25.194,15.1,35.468,0.177
5/14/2017,2.151,10.043,25.743,13.484,30.149,0.166
5/15/2017,1.34,8.278,30.175,13.819,28.879,0.175
