date,year,month,day,so2,nox,o3,pm2.5,pm10,co
01/01/2014,2014,1,1,2.0215,7.474916667,94.40525,-999.0,-999.0,0.0
01/02/2014,2014,1,2,-247.8302083,-201.1917083,-146.0497917,-706.5833333,-574.8747083,-249.75
01/03/2014,2014,1,3,1.987,7.145791667,76.63529167,0.00325,20.72279167,-999.0
01/04/2014,2014,1,4,-39.523125,9.144458333,82.46170833,0.0,26.296,-999.0
01/05/2014,2014,1,5,1.540875,8.890625,76.877625,0.0,16.112875,-999.0
01/06/2014,2014,1,6,-40.28433333,8.203958333,64.51766667,0.0,16.35758333,-999.0
01/07/2014,2014,1,7,-123.8183333,7.48525,68.35466667,0.000291667,17.14925,-999.0
01/08/2014,2014,1,8,-247.7796667,-76.09995833,-6.881083333,-580.3830833,-567.8733333,-999.0
01/09/2014,2014,1,9,-165.0714583,8.230333333,80.94545833,-999.0,-999.0,-999.0
01/10/2014,2014,1,10,-206.886875,7.445875,72.90091667,-999.0,-999.0,-999.0
01/11/2014,2014,1,11,-289.3867917,-106.3538333,-423.121875,-613.54075,-609.1511667,-649.611125
01/12/2014,2014,1,12,-578.5609167,-538.6884167,-723.5902083,-534.4219583,-531.2534583,-518.2083333
1/13/2014,2014,1,13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/14/2014,2014,1,14,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/15/2014,2014,1,15,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/16/2014,2014,1,16,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/17/2014,2014,1,17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/18/2014,2014,1,18,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/19/2014,2014,1,19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/20/2014,2014,1,20,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/21/2014,2014,1,21,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/22/2014,2014,1,22,-371.7314167,-369.0298333,-465.3595,-499.4368333,-499.5,-499.4794583
1/23/2014,2014,1,23,-415.133,12.49579167,61.06908333,0.126083333,0.0,0.0
1/24/2014,2014,1,24,-457.5009167,-367.5180833,-345.0119583,-374.5456667,-374.625,-374.625
1/25/2014,2014,1,25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/26/2014,2014,1,26,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/27/2014,2014,1,27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/28/2014,2014,1,28,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/29/2014,2014,1,29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/30/2014,2014,1,30,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/31/2014,2014,1,31,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/01/2014,2014,2,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/02/2014,2014,2,2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/03/2014,2014,2,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/04/2014,2014,2,4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/05/2014,2014,2,5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/06/2014,2014,2,6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/07/2014,2014,2,7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/08/2014,2014,2,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/09/2014,2014,2,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/10/2014,2014,2,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/11/2014,2014,2,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
02/12/2014,2014,2,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2/13/2014,2014,2,13,-914.7133333,-915.2141667,-908.3628333,-915.7375417,-915.75,-915.749875
2/14/2014,2014,2,14,-413.5977083,-410.056375,-361.6387083,-416.080625,-416.25,-416.2482917
2/15/2014,2014,2,15,2.633125,18.94333333,92.69433333,0.127541667,0.0,4.17e-05
2/16/2014,2014,2,16,-332.3694167,16.124,89.75091667,0.127458333,0.0,0.0
2/17/2014,2014,2,17,-373.8615,16.611875,95.44725,0.126416667,0.0,0.000166667
2/18/2014,2014,2,18,-276.4324167,-72.16420833,-323.8870833,0.126041667,0.0,0.0
2/19/2014,2014,2,19,-373.1215,15.86658333,93.172125,0.126375,0.0,0.0
2/20/2014,2014,2,20,-540.1355417,18.58483333,84.95445833,0.125375,0.0,0.0
2/21/2014,2014,2,21,-832.098625,14.86279167,77.21333333,0.124458333,0.0,0.0
2/22/2014,2014,2,22,-596.165375,-20.19608333,33.94275,0.124708333,0.0,0.0
2/23/2014,2014,2,23,-872.6285833,18.47454167,68.35983333,0.124125,0.0,0.0
2/24/2014,2014,2,24,-706.3749583,-237.4549167,-154.8307917,-208.0267917,-208.125,-208.12475
2/25/2014,2014,2,25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2/26/2014,2014,2,26,-957.322,-409.6362917,-374.4725417,-416.047375,-416.25,-416.2469583
2/27/2014,2014,2,27,-787.5377917,11.40154167,61.50904167,0.124958333,0.0,0.0
2/28/2014,2014,2,28,-956.751,10.50920833,59.06758333,0.126208333,0.0,0.0
03/01/2014,2014,3,1,-867.4185417,13.929375,64.947,0.125208333,0.0,0.0
03/02/2014,2014,3,2,-873.972,11.08416667,63.45616667,0.123541667,0.0,0.0
03/03/2014,2014,3,3,-957.206,8.734666667,56.696125,0.124833333,0.0,0.0
