date,year,month,day,so2,nox,o3,pm2.5,pm10,co,aqi_pm25,aqi_pm10,aqi
01/01/2014,2014,1,1,2.0215,7.474916667,94.40525,,,0.0,,,
01/02/2014,2014,1,2,,,,,,,,,
01/03/2014,2014,1,3,1.987,7.145791667,76.63529167,0.00325,20.72279167,,0.013541666666666667,19.187770064814814,19.187770064814814
01/04/2014,2014,1,4,,9.144458333,82.46170833,0.0,26.296,,0.0,24.348148148148148,24.348148148148148
01/05/2014,2014,1,5,1.540875,8.890625,76.877625,0.0,16.112875,,0.0,14.919328703703703,14.919328703703703
01/06/2014,2014,1,6,,8.203958333,64.51766667,0.0,16.35758333,,0.0,15.145910490740741,15.145910490740741
01/07/2014,2014,1,7,,7.48525,68.35466667,0.000291667,17.14925,,0.001215279166666667,15.878935185185185,15.878935185185185
01/08/2014,2014,1,8,,,,,,,,,
01/09/2014,2014,1,9,,8.230333333,80.94545833,,,,,,
01/10/2014,2014,1,10,,7.445875,72.90091667,,,,,,
01/11/2014,2014,1,11,,,,,,,,,
01/12/2014,2014,1,12,,,,,,,,,
1/13/2014,2014,1,13,,,,,,,,,
1/14/2014,2014,1,14,,,,,,,,,
1/15/2014,2014,1,15,,,,,,,,,
1/16/2014,2014,1,16,,,,,,,,,
1/17/2014,2014,1,17,,,,,,,,,
1/18/2014,2014,1,18,,,,,,,,,
1/19/2014,2014,1,19,,,,,,,,,
1/20/2014,2014,1,20,,,,,,,,,
1/21/2014,2014,1,21,,,,,,,,,
1/22/2014,2014,1,22,,,,,,,,,
1/23/2014,2014,1,23,,12.49579167,61.06908333,0.126083333,0.0,0.0,0.5253472208333333,0.0,0.5253472208333333
1/24/2014,2014,1,24,,,,,,,,,
1/25/2014,2014,1,25,,,,,,,,,
1/26/2014,2014,1,26,,,,,,,,,
1/27/2014,2014,1,27,,,,,,,,,
1/28/2014,2014,1,28,,,,,,,,,
1/29/2014,2014,1,29,,,,,,,,,
1/30/2014,2014,1,30,,,,,,,,,
1/31/2014,2014,1,31,,,,,,,,,
02/01/2014,2014,2,1,,,,,,,,,
02/02/2014,2014,2,2,,,,,,,,,
02/03/2014,2014,2,3,,,,,,,,,
02/04/2014,2014,2,4,,,,,,,,,
02/05/2014,2014,2,5,,,,,,,,,
02/06/2014,2014,2,6,,,,,,,,,
02/07/2014,2014,2,7,,,,,,,,,
02/08/2014,2014,2,8,,,,,,,,,
02/09/2014,2014,2,9,,,,,,,,,
02/10/2014,2014,2,10,,,,,,,,,
02/11/2014,2014,2,11,,,,,,,,,
02/12/2014,2014,2,12,,,,,,,,,
2/13/2014,2014,2,13,,,,,,,,,
2/14/2014,2014,2,14,,,,,,,,,
2/15/2014,2014,2,15,2.633125,18.94333333,92.69433333,0.127541667,0.0,4.17e-05,0.5314236125,0.0,0.5314236125
2/16/2014,2014,2,16,,16.124,89.75091667,0.127458333,0.0,0.0,0.5310763875000001,0.0,0.5310763875000001
2/17/2014,2014,2,17,,16.611875,95.44725,0.126416667,0.0,0.000166667,0.5267361125000001,0.0,0.5267361125000001
2/18/2014,2014,2,18,,,,0.126041667,0.0,0.0,0.5251736125,0.0,0.5251736125
2/19/2014,2014,2,19,,15.86658333,93.172125,0.126375,0.0,0.0,0.5265624999999999,0.0,0.5265624999999999
2/20/2014,2014,2,20,,18.58483333,84.95445833,0.125375,0.0,0.0,0.5223958333333333,0.0,0.5223958333333333
2/21/2014,2014,2,21,,14.86279167,77.21333333,0.124458333,0.0,0.0,0.5185763875,0.0,0.5185763875
2/22/2014,2014,2,22,,,33.94275,0.124708333,0.0,0.0,0.5196180541666667,0.0,0.5196180541666667
2/23/2014,2014,2,23,,18.47454167,68.35983333,0.124125,0.0,0.0,0.5171875,0.0,0.5171875
2/24/2014,2014,2,24,,,,,,,,,
2/25/2014,2014,2,25,,,,,,,,,
2/26/2014,2014,2,26,,,,,,,,,
2/27/2014,2014,2,27,,11.40154167,61.50904167,0.124958333,0.0,0.0,0.5206597208333333,0.0,0.5206597208333333
2/28/2014,2014,2,28,,10.50920833,59.06758333,0.126208333,0.0,0.0,0.5258680541666667,0.0,0.5258680541666667
03/01/2014,2014,3,1,,13.929375,64.947,0.125208333,0.0,0.0,0.5217013875000001,0.0,0.5217013875000001
03/02/2014,2014,3,2,,11.08416667,63.45616667,0.123541667,0.0,0.0,0.5147569458333333,0.0,0.5147569458333333
03/03/2014,2014,3,3,,8.734666667,56.696125,0.124833333,0.0,0.0,0.5201388875,0.0,0.5201388875
03/04/2014,2014,3,4,,10.54316667,58.73695833,0.125375,0.0,0.0,0.5223958333333333,0.0,0.5223958333333333
03/05/2014,2014,3,5,,,,,,,,,
03/06/2014,2014,3,6,,,,,,,,,
03/07/2014,2014,3,7,,,,,,,,,
03/08/2014,2014,3,8,,,,,,,,,
03/09/2014,2014,3,9,,,,,,,,,
03/10/2014,2014,3,10,,,,,,,,,
03/11/2014,2014,3,11,,,,,,,,,
03/12/2014,2014,3,12,,,,,,,,,
3/13/2014,2014,3,13,,,,,,,,,
3/14/2014,2014,3,14,,,,,,,,,
3/15/2014,2014,3,15,,,,,,,,,
3/16/2014,2014,3,16,,,,,,,,,
3/17/2014,2014,3,17,,,,,,,,,
3/18/2014,2014,3,18,,,,,,,,,
3/19/2014,2014,3,19,,14.74558333,78.80520833,10.61679167,11.7745,0.0,44.236631958333334,10.902314814814815,44.236631958333334
3/20/2014,2014,3,20,,13.78475,64.62229167,4.095541667,8.111416667,0.0,17.064756945833334,7.510570987962963,17.064756945833334
3/21/2014,2014,3,21,,9.82275,60.536,1.87425,3.768583333,0.0,7.809375,3.489429012037037,7.809375
3/22/2014,2014,3,22,,9.843375,62.35141667,4.25625,10.543875,0.0,17.734375,9.762847222222222,17.734375
3/23/2014,2014,3,23,,7.768708333,60.91070833,1.982916667,13.88075,0.0,8.262152779166668,12.852546296296298,12.852546296296298
3/24/2014,2014,3,24,,7.9605,58.73316667,1.964833333,14.92545833,0.0,8.186805554166668,13.819868824074074,13.819868824074074
3/25/2014,2014,3,25,,7.518833333,58.21483333,4.600416667,18.73254167,0.0,19.16840277916667,17.34494599074074,19.16840277916667
3/26/2014,2014,3,26,,8.089041667,58.702125,2.151708333,11.670375,0.0,8.965451387500002,10.805902777777778,10.805902777777778
3/27/2014,2014,3,27,,8.549166667,61.82570833,0.944291667,16.14966667,0.0,3.9345486125000004,14.953395064814814,14.953395064814814
3/28/2014,2014,3,28,,8.123,55.93554167,2.269708333,15.42995833,0.0,9.457118054166667,14.286998453703704,14.286998453703704
3/29/2014,2014,3,29,,10.85254167,53.508375,1.44025,9.145666667,0.0,6.0010416666666675,8.468209876851851,8.468209876851851
3/30/2014,2014,3,30,,9.465791667,54.89333333,1.660333333,10.69816667,0.0,6.918055554166667,9.905709879629631,9.905709879629631
3/31/2014,2014,3,31,,7.136083333,58.10541667,1.764125,14.79629167,0.0,7.350520833333333,13.700270064814815,13.700270064814815
04/01/2014,2014,4,1,,9.393458333,57.88475,1.624916667,15.48033333,0.0,6.7704861125,14.333641972222223,14.333641972222223
04/02/2014,2014,4,2,,8.142333333,55.94516667,1.887916667,10.12254167,0.0,7.8663194458333345,9.372723768518519,9.372723768518519
04/03/2014,2014,4,3,,,,,,,,,
04/04/2014,2014,4,4,,6.820875,54.41766667,0.890166667,4.143958333,0.0,3.709027779166667,3.836998456481481,3.836998456481481
04/05/2014,2014,4,5,,8.378458333,46.824625,1.817916667,7.924625,0.0,7.574652779166668,7.33761574074074,7.574652779166668
04/06/2014,2014,4,6,,9.625041667,51.13879167,1.408375,8.455375,0.0,5.868229166666667,7.829050925925926,7.829050925925926
04/07/2014,2014,4,7,,6.424583333,55.25279167,1.645833333,6.476708333,0.0,6.8576388875,5.996952160185185,6.8576388875
04/08/2014,2014,4,8,,4.399083333,53.86695833,1.460083333,4.687625,0.0,6.083680554166667,4.3403935185185185,6.083680554166667
04/09/2014,2014,4,9,,8.571166667,52.71120833,10.95283333,16.82858333,0.0,45.636805541666675,15.582021601851853,45.636805541666675
04/10/2014,2014,4,10,,7.657041667,55.2885,1.651958333,5.671916667,0.0,6.883159720833334,5.251774691666666,6.883159720833334
04/11/2014,2014,4,11,,9.566833333,54.49308333,0.820333333,6.787875,0.0,3.418055554166667,6.285069444444444,6.285069444444444
04/12/2014,2014,4,12,,,,,,,,,
4/13/2014,2014,4,13,,,,,,,,,
4/14/2014,2014,4,14,,,,,,,,,
4/15/2014,2014,4,15,,,,,,,,,
4/16/2014,2014,4,16,,,,,,,,,
4/17/2014,2014,4,17,,,,,,,,,
4/18/2014,2014,4,18,,,,,,,,,
4/19/2014,2014,4,19,,,,,,,,,
4/20/2014,2014,4,20,,,,,,,,,
4/21/2014,2014,4,21,,,,,,,,,
4/22/2014,2014,4,22,,,,,,,,,
4/23/2014,2014,4,23,,,,,,,,,
4/24/2014,2014,4,24,,,,,,,,,
4/25/2014,2014,4,25,,,,,,,,,
4/26/2014,2014,4,26,,,,,,,,,
4/27/2014,2014,4,27,,,,,,,,,
4/28/2014,2014,4,28,5.199583333,15.14608333,20.57220833,2.971291667,1.848458333,0.0,12.380381945833335,1.7115354935185185,12.380381945833335
4/29/2014,2014,4,29,2.271541667,13.69545833,23.03791667,3.389125,2.860916667,0.0,14.121354166666668,2.648996913888889,14.121354166666668
4/30/2014,2014,4,30,2.509958333,14.70083333,23.66704167,2.5445,2.273916667,0.0,10.602083333333335,2.1054783953703704,10.602083333333335
